h,T,lambda,M,s
18713.76142,-39722900.03,0.0002549,1.853150406,-0.000418369
27260.35467,-118895505.7,0.0002548,1.863707372,-0.001760378
13958.671,-62346926.46,0.0002548,1.846991983,-0.000801928
16273.06559,-9820564.036,0.0002549,1.850083337,8.84498E-05
33.84324885,-32714565.91,1.00E-07,0.003153529,-0.000554384
10153.72184,-63036732.89,0.0002532,1.833609543,-0.000815219
11392.40979,-78541601.03,0.0002448,1.784109124,-0.001086414
12217.91042,-8604664.491,0.0002549,1.844987479,0.000109058
1099.868699,-28686268.57,3.00E-07,0.048962136,-0.000485908
30468.43971,-117664246.9,0.0002549,1.867738771,-0.001739409
12036.16622,-87423688.92,0.0002224,1.652792093,-0.001259357
12319.67121,-27783497.66,0.0002549,1.845115355,-0.000216007
18230.27792,-102960639.9,0.0002548,1.851810843,-0.001490296
28816.23067,-17978212.7,0.0002549,1.865845543,-4.98155E-05
5965.525987,-43177665.97,0.0001966,1.464359501,-0.000535225
13301.05147,-84541876.16,0.0002538,1.840858594,-0.001179113
29599.22362,-51464133.16,0.0002549,1.867012481,-0.000617373
19634.75432,-3128983.947,0.0002549,1.85449076,0.000201866
29728.24772,-73065844.21,0.000255,1.866991618,-0.000983404
3238.304858,-39857005.89,3.20E-06,0.141868374,-0.000672342
30482.85623,-9665054.556,0.0002549,1.867939887,9.10855E-05
31113.97151,-114494029.1,0.0002549,1.86854997,-0.001685677
31187.45155,-87981181.96,0.0002549,1.868825307,-0.001236306
29775.30645,-51066429.95,0.0002549,1.867233754,-0.000610633
17734.29435,-32919011.18,0.0002549,1.852102572,-0.000303049
20933.50789,-73708363.55,0.0002549,1.855939822,-0.000994394
5971.063686,-19711353.02,0.0002548,1.83658846,-7.92907E-05
8901.238121,-118839797.3,5.10E-06,0.264091626,-0.002009134
21033.72527,-2661310.969,0.0002549,1.856065759,0.000209793
18517.88064,-65251649.54,0.0002548,1.852904255,-0.00085116
1960.172076,-30826817.39,1.70E-06,0.089205225,-0.000520788
2697.173288,-83122756.79,8.00E-07,0.092510368,-0.00140806
22656.78023,-69765909.7,0.0002549,1.85810535,-0.000927573
16099.87014,-38389723.42,0.0002549,1.849865694,-0.000395773
17062.27005,-101028791,0.0002547,1.850160081,-0.001457652
22787.36649,-30719516.72,0.000255,1.858269449,-0.00026567
23819.14223,-19893081.75,0.000255,1.859566017,-8.21709E-05
6620.786133,-92770976.6,3.40E-06,0.214743925,-0.001568989
31144.83046,-112148911.6,0.0002549,1.868771748,-0.001645929
22205.52568,-24563121.15,0.000255,1.857538287,-0.000161324
