h,T,lambda,M,s,,,,,lambda_fixedh=24,strain
0,0,-2.10E-05,0.459696,-2.10E-05,,,,,0.0001668,0.0001668
319.08,0,3.20E-05,0.849154968,3.20E-05,,,,,0.0001668,0.0001668
638.16,0,8.87E-05,1.256730936,8.87E-05,,,,,0.0001668,0.0001668
957.24,0,0.0001295,1.549016903,1.30E-04,,,,,0.0001668,0.0001668
1276.32,0,0.0001519,1.706980871,1.52E-04,,,,,0.0001668,0.0001668
1595.4,0,0.0001624,1.778934839,1.62E-04,,,,,0.0001668,0.0001668
1914.48,0,0.0001668,1.810262807,1.67E-04,,,,,0.0001668,0.0001668
2233.56,0,0.0001687,1.823290774,1.69E-04,,,,,0.0001668,0.0001668
2552.64,0,0.0001692,1.828632742,1.69E-04,,,,,0.0001668,0.0001668
2871.72,0,0.0001697,1.83159571,1.70E-04,,,,,0.0001668,0.0001668
3190.8,0,0.0001698,1.832728678,1.70E-04,,,,,0.0001668,0.0001668
3509.88,0,0.0001699,1.833495645,1.70E-04,,,,,0.0001668,0.0001668
3828.96,0,0.0001698,1.834262613,1.70E-04,,,,,0.0001668,0.0001668
4148.04,0,0.0001698,1.834663581,1.70E-04,,,,,0.0001668,0.0001668
4467.12,0,0.0001698,1.835064549,1.70E-04,,,,,0.0001668,0.0001668
4786.2,0,0.0001699,1.835648516,1.70E-04,,,,,0.0001668,0.0001668
5105.28,0,0.0001699,1.835866484,1.70E-04,,,,,0.0001668,0.0001668
5424.36,0,0.0001699,1.836450452,1.70E-04,,,,,0.0001668,0.0001668
5743.44,0,0.0001699,1.83685142,1.70E-04,,,,,0.0001668,0.0001668
6062.52,0,0.0001699,1.837252387,1.70E-04,,,,,0.0001668,0.0001668
6381.6,0,0.0001699,1.837653355,1.70E-04,,,,,0.0001668,0.0001668
6700.68,0,0.0001699,1.838054323,1.70E-04,,,,,0.0001668,0.0001668
7019.76,0,0.0001699,1.838455291,1.70E-04,,,,,0.0001668,0.0001668
7338.84,0,0.0001699,1.838856258,1.70E-04,,,,,0.0001668,0.0001668
7657.92,0,0.0001699,1.839074226,1.70E-04,,,,,0.0001668,0.0001668
7977,0,0.0001698,1.839658194,1.70E-04,,,,,0.0001668,0.0001668
8296.08,0,0.0001699,1.840059162,1.70E-04,,,,,0.0001668,0.0001668
8615.16,0,0.0001699,1.840460129,1.70E-04,,,,,0.0001668,0.0001668
8934.24,0,0.0001699,1.840861097,1.70E-04,,,,,0.0001668,0.0001668
9253.32,0,0.0001699,1.841262065,1.70E-04,,,,,0.0001668,0.0001668
9572.4,0,0.0001699,1.841663033,1.70E-04,,,,,0.0001668,0.0001668
9891.48,0,0.0001699,1.842064,1.70E-04,,,,,0.0001668,0.0001668
10210.56,0,0.0001699,1.842464968,1.70E-04,,,,,0.0001668,0.0001668
10529.64,0,0.0001699,1.842865936,1.70E-04,,,,,0.0001668,0.0001668
10848.72,0,0.0001699,1.843266904,1.70E-04,,,,,0.0001668,0.0001668
11167.8,0,0.0001699,1.843667871,1.70E-04,,,,,0.0001668,0.0001668
11486.88,0,0.0001699,1.844068839,1.70E-04,,,,,0.0001668,0.0001668
11805.96,0,0.0001699,1.844469807,1.70E-04,,,,,0.0001668,0.0001668
12125.04,0,0.0001699,1.845053775,1.70E-04,,,,,0.0001668,0.0001668
12444.12,0,0.0001699,1.845454742,1.70E-04,,,,,0.0001668,0.0001668
12763.2,0,0.0001699,1.84567271,1.70E-04,,,,,0.0001668,0.0001668
13082.28,0,0.0001699,1.846073678,1.70E-04,,,,,0.0001668,0.0001668
13401.36,0,0.0001699,1.846474646,1.70E-04,,,,,0.0001668,0.0001668
