,h,T,M,Lambda_lhs,e
0,18713.76142,-31957061.13,1.853333406,0.0002549,-2.87E-04
1,27260.35467,-16991029,1.864073372,2.55E-04,-3.30E-05
2,13958.671,-46282811.53,1.846991983,2.55E-04,-5.29E-04
3,16273.06559,-42630912.48,1.849900337,2.55E-04,-4.68E-04
4,33.84324885,-39248338.89,0.003153529,1.00E-07,-6.65E-04
5,10153.72184,-21949495.77,1.842393543,2.55E-04,-1.17E-04
6,11392.40979,-26343312.58,1.843950124,2.55E-04,-1.91E-04
7,12217.91042,-1327447.901,1.844987479,2.55E-04,2.33E-04
8,1099.868699,-10649463.63,0.405446136,5.08E-05,-1.30E-04
9,30468.43971,-15994038.5,1.868104771,2.55E-04,-1.61E-05
10,12036.16622,-25031772.07,1.844759093,2.55E-04,-1.69E-04
11,12319.67121,-21623288.81,1.845115355,2.55E-04,-1.11E-04
12,18230.27792,-29121785.38,1.852725843,2.55E-04,-2.39E-04
13,28816.23067,-34721649.2,1.865845543,2.55E-04,-3.34E-04
14,5965.525987,-41489977.18,1.597217501,2.17E-04,-4.86E-04
15,13301.05147,-18538057.17,1.846348594,2.55E-04,-5.92E-05
16,29599.22362,-27451704.75,1.866829481,2.55E-04,-2.10E-04
17,19634.75432,-15181388.35,1.85430776,2.55E-04,-2.31E-06
18,29728.24772,-32635.92571,1.866991618,2.55E-04,2.54E-04
19,3238.304858,-20439769.25,1.488382374,2.03E-04,-1.43E-04
20,30482.85623,-9085577.187,1.867939887,2.55E-04,1.01E-04
21,31113.97151,-1913446.562,1.86873297,2.55E-04,2.23E-04
22,31187.45155,-20281437.72,1.868825307,2.55E-04,-8.88E-05
23,29775.30645,-3867380.919,1.867233754,2.55E-04,1.89E-04
24,17734.29435,-11934160.07,1.852102572,2.55E-04,5.27E-05
25,20933.50789,-41312689.3,1.856122822,2.55E-04,-4.45E-04
26,5971.063686,-29489921.87,1.83109846,2.54E-04,-2.46E-04
27,8901.238121,-7701159.301,1.840819626,2.55E-04,1.24E-04
28,21033.72527,-42022535.22,1.856248759,2.55E-04,-4.57E-04
29,18517.88064,-24910711.25,1.852904255,2.55E-04,-1.67E-04
30,1960.172076,-3985332.674,1.763838225,2.45E-04,1.77E-04
31,2697.173288,-37089031.4,0.116666368,2.10E-06,-6.27E-04
32,22656.78023,-22123666.3,1.85810535,2.55E-04,-1.20E-04
33,16099.87014,-46006928.93,1.849865693,2.55E-04,-5.25E-04
34,17062.27005,-8497202.825,1.851258081,2.55E-04,1.11E-04
35,22787.36649,-36663502.75,1.858269449,2.55E-04,-3.66E-04
36,23819.14223,-43707358.19,1.859566017,2.55E-04,-4.86E-04
37,6620.786133,-37486094.88,1.823130925,2.52E-04,-3.83E-04
38,31144.83046,-37906413.13,1.868954748,2.55E-04,-3.87E-04
39,22205.52568,-36851147.67,1.857538287,2.55E-04,-3.70E-04
40,23127.12969,-46150865.61,1.858696408,2.55E-04,-5.27E-04
41,6858.735894,-44736382.26,1.760111942,2.43E-04,-5.15E-04
42,659.7753979,-7172453.422,0.354934098,4.59E-05,-7.57E-05
43,25731.80935,-15391355.34,1.861969545,2.55E-04,-5.87E-06
44,19254.60476,-33672750.21,1.85401305,2.55E-04,-3.16E-04
45,8739.475175,-15863956.69,1.840616348,2.55E-04,-1.39E-05
46,25963.74329,-29013530.9,1.862261002,2.55E-04,-2.37E-04
47,14266.32163,-19072813.07,1.847561588,2.55E-04,-6.83E-05
48,29244.9444,-8887595.131,1.866384281,2.55E-04,1.04E-04
49,9251.750002,-42209844.48,1.840711092,2.55E-04,-4.60E-04
50,1866.641229,-24027798.23,0.128249691,7.30E-06,-4.00E-04
51,8371.310255,-23752519.92,1.839970699,2.55E-04,-1.48E-04
52,4499.447993,-28902580.08,1.636916173,2.25E-04,-2.65E-04
53,25809.95486,-24293070.71,1.862067746,2.55E-04,-1.57E-04
54,6117.538774,-7023374.234,1.837138526,2.55E-04,1.36E-04
55,6552.590761,-33512705.96,1.832561228,2.54E-04,-3.14E-04
56,24224.05534,-44524858.12,1.860074846,2.55E-04,-5.00E-04
57,28504.75364,-28232884.62,1.86563713,2.55E-04,-2.24E-04
58,5891.560234,-9861710.959,1.836854553,2.55E-04,8.79E-05
59,17521.67594,-15957747.8,1.851835387,2.55E-04,-1.55E-05
60,15073.38005,-10346358.53,1.848575768,2.55E-04,7.96E-05
61,15161.98912,-23729426.58,1.848687117,2.55E-04,-1.47E-04
62,18880.86596,-18437183.13,1.853543396,2.55E-04,-5.75E-05
63,2227.353867,-18100360.64,0.693623975,8.78E-05,-2.19E-04
64,9704.084695,-16063482.64,1.841828512,2.55E-04,-1.73E-05
65,6374.230578,-2297916.505,1.837644094,2.55E-04,2.16E-04
66,9987.313469,-39748446.29,1.842001428,2.55E-04,-4.19E-04
67,4595.597279,-47781153.33,0.211466998,7.60E-06,-8.02E-04
68,23883.71686,-30134018.36,1.859647164,2.55E-04,-2.56E-04
69,394.4153117,-32451898.26,0.017880637,1.00E-07,-5.50E-04
70,4635.058353,-11691095.62,1.834543586,2.55E-04,5.68E-05
71,3727.612946,-31009828.35,0.694777257,8.32E-05,-4.42E-04
72,28401.97372,-26517434.78,1.865507973,2.55E-04,-1.94E-04
73,12172.46216,-8413330.942,1.844930367,2.55E-04,1.12E-04
74,14313.38463,-6381285.787,1.84762073,2.55E-04,1.47E-04
75,14612.70476,-41374595.79,1.847996866,2.55E-04,-4.46E-04
76,27133.72209,-28683096.86,1.863731241,2.55E-04,-2.31E-04
77,28622.66493,-36404229.16,1.865602302,2.55E-04,-3.62E-04
78,19412.92203,-15969894.62,1.854028997,2.55E-04,-1.57E-05
79,20983.69723,-24562543.11,1.856002892,2.55E-04,-1.61E-04
80,24944.98708,-11617188.94,1.861163795,2.55E-04,5.81E-05
81,20002.55375,-12952930.46,1.85476995,2.55E-04,3.55E-05
82,6314.920014,-23301070.49,1.837020563,2.55E-04,-1.40E-04
83,161.2624391,-24582459.6,0.008986648,1.00E-07,-4.17E-04
84,1465.566742,-12110345.57,0.602630685,7.77E-05,-1.28E-04
85,7386.572328,-37758933.11,1.836537241,2.54E-04,-3.86E-04
86,29521.941,-7532069.312,1.866915365,2.55E-04,1.27E-04
87,6967.872493,-1169247.849,1.838390087,2.55E-04,2.35E-04
88,14231.3282,-26912459.67,1.847517614,2.55E-04,-2.01E-04
89,3438.972274,-845655.2912,1.83340654,2.55E-04,2.41E-04
90,14755.591,-10222184.95,1.848176423,2.55E-04,8.17E-05
91,22431.55209,-21463725.72,1.85782232,2.55E-04,-1.09E-04
92,23546.21412,-42775127.94,1.859223045,2.55E-04,-4.70E-04
93,1706.497339,-28379120.68,0.079919448,1.50E-06,-4.80E-04
94,20740.30539,-7498594.205,1.855880036,2.55E-04,1.28E-04
95,26691.95716,-37630925,1.863359103,2.55E-04,-3.83E-04
96,22804.85319,-9123973.977,1.858291424,2.55E-04,1.00E-04
97,27164.82312,-37420345.28,1.863953324,2.55E-04,-3.79E-04
98,24743.75571,-4748831.515,1.86072792,2.55E-04,1.75E-04
99,684.8422315,-18608995.46,0.041486598,1.50E-06,-3.14E-04
100,3516.111098,-42460879.73,0.150086476,3.00E-06,-7.17E-04
101,26654.90406,-17979349.44,1.86312954,2.55E-04,-4.97E-05
102,18447.80961,-37288450.9,1.852816201,2.55E-04,-3.77E-04
103,4545.980539,-27605498.18,1.713651648,2.36E-04,-2.32E-04
104,18259.70715,-43684189.26,1.852579825,2.55E-04,-4.85E-04
105,12950.33411,-23850903.37,1.84572487,2.55E-04,-1.49E-04
106,28875.64952,-5378965.657,1.865920211,2.55E-04,1.64E-04
107,1282.701626,-18349449.01,0.11616989,8.80E-06,-3.02E-04
108,18607.53977,-30960291.38,1.853199924,2.55E-04,-2.70E-04
109,27875.35765,-25709482.81,1.864846208,2.55E-04,-1.81E-04
110,31396.49939,-47418675.5,1.869271005,2.55E-04,-5.49E-04
111,30345.3489,-16052042.7,1.86795009,2.55E-04,-1.71E-05
112,6899.577219,-46664629.13,1.712400264,2.35E-04,-5.56E-04
113,30561.8363,-13923007.76,1.868039136,2.55E-04,1.90E-05
114,30221.47642,-44500334.38,1.867794427,2.55E-04,-4.99E-04
115,21562.23565,-676989.1472,1.856729904,2.55E-04,2.44E-04
116,341.0985777,-29363601.81,0.016349637,1.00E-07,-4.98E-04
117,13365.29868,-899318.9653,1.84642933,2.55E-04,2.40E-04
118,15389.02751,-33389820.91,1.848972422,2.55E-04,-3.11E-04
119,26754.76534,-34038613.68,1.86343803,2.55E-04,-3.22E-04
120,23910.93641,-47718230.84,1.859864369,2.55E-04,-5.54E-04
121,7254.014715,-6924862.237,1.838566664,2.55E-04,1.38E-04
122,1516.070513,-29143889.28,0.06833415,9.00E-07,-4.93E-04
123,2047.802784,-16288220.21,0.725057345,9.31E-05,-1.83E-04
124,30130.8271,-21384721.66,1.867680514,2.55E-04,-1.07E-04
125,8765.420992,-29292439.28,1.840648953,2.55E-04,-2.41E-04
126,20465.44283,-7603181.707,1.855534634,2.55E-04,1.26E-04
127,28991.6168,-38482158.56,1.86606594,2.55E-04,-3.97E-04
128,20675.5959,-38666363.98,1.85561572,2.55E-04,-4.00E-04
129,13173.43676,-32807171.67,1.846188229,2.55E-04,-3.01E-04
130,23490.39663,-2525455.466,1.859335903,2.55E-04,2.12E-04
131,20019.39161,-19973385.58,1.854791109,2.55E-04,-8.35E-05
132,16030.67138,-35812226.84,1.849778736,2.55E-04,-3.52E-04
133,2217.200065,-3094644.61,1.806983216,2.51E-04,1.99E-04
134,19543.48012,-36343106.11,1.854193061,2.55E-04,-3.61E-04
135,4027.916474,-11458057.31,1.832133629,2.54E-04,5.98E-05
136,21201.87735,-36960207.43,1.856277065,2.55E-04,-3.71E-04
137,30274.17571,-17078079.58,1.867677651,2.55E-04,-3.45E-05
138,24814.12007,-38099636.2,1.860816343,2.55E-04,-3.91E-04
139,27769.58859,-8613645.877,1.864530294,2.55E-04,1.09E-04
140,24068.50555,-26327993.26,1.859879376,2.55E-04,-1.91E-04
141,25778.78109,-27691678.33,1.862028572,2.55E-04,-2.14E-04
142,12182.74195,-35835563.13,1.844760285,2.55E-04,-3.52E-04
143,10766.23398,-11086894.48,1.843163249,2.55E-04,6.71E-05
144,6562.157428,-7734515.005,1.83788025,2.55E-04,1.24E-04
145,9243.63934,-30850157,1.8410669,2.55E-04,-2.68E-04
146,9457.465793,-591823.0592,1.841518602,2.55E-04,2.45E-04
147,18266.27462,-28823470.92,1.852771078,2.55E-04,-2.34E-04
148,5467.643917,-27265126.59,1.825890844,2.53E-04,-2.09E-04
149,21996.54855,-7070823.761,1.857275678,2.55E-04,1.35E-04
150,23052.38815,-22403288.5,1.858602485,2.55E-04,-1.25E-04
151,4904.570233,-14276602.17,1.834882265,2.55E-04,1.30E-05
152,3414.19868,-33465242.47,0.282999409,2.28E-05,-5.44E-04
153,18240.35254,-13774000.59,1.852738503,2.55E-04,2.15E-05
154,30426.56473,-25001746.88,1.867869149,2.55E-04,-1.69E-04
155,7525.140196,-9078165.425,1.83909037,2.55E-04,1.01E-04
156,27142.79371,-25881885.87,1.863925641,2.55E-04,-1.84E-04
157,7811.400835,-34663808.57,1.838718096,2.55E-04,-3.33E-04
158,7011.270515,-40645747.51,1.822889622,2.52E-04,-4.37E-04
159,29400.84578,-38141185.41,1.866580192,2.55E-04,-3.91E-04
160,22840.22519,-9918046.468,1.858518873,2.55E-04,8.69E-05
161,12489.63333,-45802439.35,1.845328936,2.55E-04,-5.21E-04
162,28743.41186,-46826229.1,1.865937037,2.55E-04,-5.39E-04
163,11595.49135,-34834671.7,1.844205324,2.55E-04,-3.35E-04
164,10752.67124,-19547971.01,1.843146205,2.55E-04,-7.63E-05
165,4278.423096,-41696253.48,0.271275425,1.75E-05,-6.89E-04
166,8408.629815,-42859212.19,1.838736596,2.55E-04,-4.71E-04
167,23357.98551,-18562961.7,1.85916951,2.55E-04,-5.96E-05
168,12435.99688,-6115622.966,1.845261535,2.55E-04,1.51E-04
169,13396.45571,-40281621.7,1.846468483,2.55E-04,-4.28E-04
170,4341.687341,-41524529.33,0.297157925,2.12E-05,-6.83E-04
171,17254.89232,-39561881.85,1.851134137,2.55E-04,-4.16E-04
172,21383.88444,-29372548.51,1.856505782,2.55E-04,-2.43E-04
173,27153.07882,-1720950.802,1.863755565,2.55E-04,2.26E-04
174,17512.33539,-36079943.33,1.85164065,2.55E-04,-3.57E-04
175,12275.30127,-5223029.783,1.845059599,2.55E-04,1.66E-04
176,29293.55639,-27852757.47,1.866445369,2.55E-04,-2.17E-04
177,3929.456262,-45006922.05,0.1683569,3.90E-06,-7.59E-04
178,29863.94608,-6562937.559,1.867162141,2.55E-04,1.44E-04
179,16581.12233,-8851060.344,1.850653453,2.55E-04,1.05E-04
180,1474.542707,-43012639.05,0.059497965,4.00E-07,-7.29E-04
181,26442.00527,-32281102.94,1.862862004,2.55E-04,-2.92E-04
182,6219.568543,-3814913.8,1.83744974,2.55E-04,1.90E-04
183,22666.81401,-28010801.79,1.858117959,2.55E-04,-2.20E-04
184,5655.8706,-44182540.88,1.059723377,1.34E-04,-6.15E-04
185,11017.92698,-18765518.14,1.843296535,2.55E-04,-6.31E-05
186,25695.10911,-47107638.57,1.861923426,2.55E-04,-5.43E-04
187,24821.52813,-1960004.805,1.861008652,2.55E-04,2.22E-04
188,11011.60013,-5923166.342,1.843471585,2.55E-04,1.55E-04
189,10729.149,-43989761.94,1.842933646,2.55E-04,-4.91E-04
190,23889.93058,-37928302.75,1.859654972,2.55E-04,-3.88E-04
191,16491.17263,-43122449,1.850174419,2.55E-04,-4.76E-04
192,24643.39677,-32193661.93,1.860601806,2.55E-04,-2.91E-04
193,14548.33234,-13913630.39,1.847915974,2.55E-04,1.92E-05
194,12974.84068,-30893502.23,1.845938666,2.55E-04,-2.69E-04
195,2055.647516,-2943512.322,1.794336203,2.49E-04,1.99E-04
196,8860.672378,-11007297.22,1.840768649,2.55E-04,6.84E-05
197,22456.17969,-17557880.59,1.857853268,2.55E-04,-4.26E-05
198,25588.88126,-5912276.756,1.861789937,2.55E-04,1.55E-04
