,magnetic field,Stress_100,stress_2,stress_3,stress_4,stress_5,stress_6
0,18713.76142,-39722900.03,0,0,0,0,0
1,27260.35467,-118895505.7,0,0,0,0,0
2,13958.671,-62346926.46,0,0,0,0,0
3,16273.06559,-9820564.036,0,0,0,0,0
4,33.84324885,-32714565.91,0,0,0,0,0
5,10153.72184,-63036732.89,0,0,0,0,0
6,11392.40979,-78541601.03,0,0,0,0,0
7,12217.91042,-8604664.491,0,0,0,0,0
8,1099.868699,-28686268.57,0,0,0,0,0
9,30468.43971,-117664246.9,0,0,0,0,0
10,12036.16622,-87423688.92,0,0,0,0,0
11,12319.67121,-27783497.66,0,0,0,0,0
12,18230.27792,-102960639.9,0,0,0,0,0
13,28816.23067,-17978212.7,0,0,0,0,0
14,5965.525987,-43177665.97,0,0,0,0,0
15,13301.05147,-84541876.16,0,0,0,0,0
16,29599.22362,-51464133.16,0,0,0,0,0
17,19634.75432,-3128983.947,0,0,0,0,0
18,29728.24772,-73065844.21,0,0,0,0,0
19,3238.304858,-39857005.89,0,0,0,0,0
20,30482.85623,-9665054.556,0,0,0,0,0
21,31113.97151,-114494029.1,0,0,0,0,0
22,31187.45155,-87981181.96,0,0,0,0,0
23,29775.30645,-51066429.95,0,0,0,0,0
24,17734.29435,-32919011.18,0,0,0,0,0
25,20933.50789,-73708363.55,0,0,0,0,0
26,5971.063686,-19711353.02,0,0,0,0,0
27,8901.238121,-118839797.3,0,0,0,0,0
28,21033.72527,-2661310.969,0,0,0,0,0
29,18517.88064,-65251649.54,0,0,0,0,0
30,1960.172076,-30826817.39,0,0,0,0,0
31,2697.173288,-83122756.79,0,0,0,0,0
32,22656.78023,-69765909.7,0,0,0,0,0
33,16099.87014,-38389723.42,0,0,0,0,0
34,17062.27005,-101028791,0,0,0,0,0
35,22787.36649,-30719516.72,0,0,0,0,0
36,23819.14223,-19893081.75,0,0,0,0,0
37,6620.786133,-92770976.6,0,0,0,0,0
38,31144.83046,-112148911.6,0,0,0,0,0
39,22205.52568,-24563121.15,0,0,0,0,0
40,23127.12969,-84443424.04,0,0,0,0,0
41,6858.735894,-86684343.91,0,0,0,0,0
42,659.7753979,-92487813,0,0,0,0,0
43,25731.80935,-86327198.78,0,0,0,0,0
44,19254.60476,-14416263.41,0,0,0,0,0
45,8739.475175,-7611137.18,0,0,0,0,0
46,25963.74329,-4176782.478,0,0,0,0,0
47,14266.32163,-17445811.3,0,0,0,0,0
48,29244.9444,-42808.57382,0,0,0,0,0
49,9251.750002,-12540047.37,0,0,0,0,0
50,1866.641229,-10621503.37,0,0,0,0,0
51,8371.310255,-83064527.83,0,0,0,0,0
52,4499.447993,-15804931.09,0,0,0,0,0
53,25809.95486,-57038370.29,0,0,0,0,0
54,6117.538774,-15657172.62,0,0,0,0,0
55,6552.590761,-12938606.21,0,0,0,0,0
56,24224.05534,-32232380.63,0,0,0,0,0
57,28504.75364,-90193981.73,0,0,0,0,0
58,5891.560234,-79359816.99,0,0,0,0,0
59,17521.67594,-77940906.71,0,0,0,0,0
60,15073.38005,-64498137.6,0,0,0,0,0
61,15161.98912,-69662767.89,0,0,0,0,0
62,18880.86596,-90009572.34,0,0,0,0,0
63,2227.353867,-56951480.26,0,0,0,0,0
64,9704.084695,-5397601.318,0,0,0,0,0
65,6374.230578,-119426217,0,0,0,0,0
66,9987.313469,-114355317.7,0,0,0,0,0
67,4595.597279,-36888907.8,0,0,0,0,0
68,23883.71686,-59188260.47,0,0,0,0,0
69,394.4153117,-112658429,0,0,0,0,0
70,4635.058353,-57827100.01,0,0,0,0,0
71,3727.612946,-79620040.2,0,0,0,0,0
72,28401.97372,-46651222.76,0,0,0,0,0
73,12172.46216,-41866994.9,0,0,0,0,0
74,14313.38463,-81607644.16,0,0,0,0,0
75,14612.70476,-7363971.383,0,0,0,0,0
76,27133.72209,-112884168.6,0,0,0,0,0
77,28622.66493,-88667928.16,0,0,0,0,0
78,19412.92203,-118066155,0,0,0,0,0
79,20983.69723,-53292737.71,0,0,0,0,0
80,24944.98708,-102143171,0,0,0,0,0
81,20002.55375,-79554367.82,0,0,0,0,0
82,6314.920014,-109395585.3,0,0,0,0,0
83,161.2624391,-17956145.16,0,0,0,0,0
84,1465.566742,-51160481.62,0,0,0,0,0
85,7386.572328,-74326605.56,0,0,0,0,0
86,29521.941,-14364807.78,0,0,0,0,0
87,6967.872493,-19654100.92,0,0,0,0,0
88,14231.3282,-10971640.72,0,0,0,0,0
89,3438.972274,-59438562.06,0,0,0,0,0
90,14755.591,-43948668.45,0,0,0,0,0
91,22431.55209,-27114727.61,0,0,0,0,0
92,23546.21412,-55229653.05,0,0,0,0,0
93,1706.497339,-40940102.66,0,0,0,0,0
94,20740.30539,-44157392.15,0,0,0,0,0
95,26691.95716,-60740851.25,0,0,0,0,0
96,22804.85319,-64796945.98,0,0,0,0,0
97,27164.82312,-63511066.18,0,0,0,0,0
98,24743.75571,-24615720.82,0,0,0,0,0
99,684.8422315,-109066675.7,0,0,0,0,0
100,3516.111098,-34934803.99,0,0,0,0,0
101,26654.90406,-103804061.6,0,0,0,0,0
102,18447.80961,-46202477.62,0,0,0,0,0
103,4545.980539,-56350588.18,0,0,0,0,0
104,18259.70715,-79753071.55,0,0,0,0,0
105,12950.33411,-48753539.89,0,0,0,0,0
106,28875.64952,-116021896.4,0,0,0,0,0
107,1282.701626,-116595590.2,0,0,0,0,0
108,18607.53977,-61186874.53,0,0,0,0,0
109,27875.35765,-51502211.36,0,0,0,0,0
110,31396.49939,-74277384.02,0,0,0,0,0
111,30345.3489,-95992850.65,0,0,0,0,0
112,6899.577219,-94038883.64,0,0,0,0,0
113,30561.8363,-31224540.89,0,0,0,0,0
114,30221.47642,-11601389.09,0,0,0,0,0
115,21562.23565,-91758404.54,0,0,0,0,0
116,341.0985777,-111530222.9,0,0,0,0,0
117,13365.29868,-20489463.63,0,0,0,0,0
118,15389.02751,-66311160.38,0,0,0,0,0
119,26754.76534,-49227692.53,0,0,0,0,0
120,23910.93641,-91163446.39,0,0,0,0,0
121,7254.014715,-65620576.8,0,0,0,0,0
122,1516.070513,-96545224.16,0,0,0,0,0
123,2047.802784,-78505893.12,0,0,0,0,0
124,30130.8271,-85294998.41,0,0,0,0,0
125,8765.420992,-5569772.088,0,0,0,0,0
126,20465.44283,-95545136.21,0,0,0,0,0
127,28991.6168,-52158716.52,0,0,0,0,0
128,20675.5959,-56811743.82,0,0,0,0,0
129,13173.43676,-48098230.02,0,0,0,0,0
130,23490.39663,-38051062.41,0,0,0,0,0
131,20019.39161,-25976919.28,0,0,0,0,0
132,16030.67138,-44401772.8,0,0,0,0,0
133,2217.200065,-44033173.81,0,0,0,0,0
134,19543.48012,-7516682.158,0,0,0,0,0
135,4027.916474,-986955.1942,0,0,0,0,0
136,21201.87735,-77683455.54,0,0,0,0,0
137,30274.17571,-112388729,0,0,0,0,0
138,24814.12007,-2457795.345,0,0,0,0,0
139,27769.58859,-119675736.2,0,0,0,0,0
140,24068.50555,-5266653.32,0,0,0,0,0
141,25778.78109,-80593654.44,0,0,0,0,0
142,12182.74195,-87951351.75,0,0,0,0,0
143,10766.23398,-60490242.09,0,0,0,0,0
144,6562.157428,-40030112.51,0,0,0,0,0
145,9243.63934,-31651585.75,0,0,0,0,0
146,9457.465793,-64737759.48,0,0,0,0,0
147,18266.27462,-70987417.42,0,0,0,0,0
148,5467.643917,-49868439.42,0,0,0,0,0
149,21996.54855,-45302187.67,0,0,0,0,0
150,23052.38815,-16182745.32,0,0,0,0,0
151,4904.570233,-58887479.61,0,0,0,0,0
152,3414.19868,-1480961.812,0,0,0,0,0
153,18240.35254,-97452709.34,0,0,0,0,0
154,30426.56473,-49150524.36,0,0,0,0,0
155,7525.140196,-67524320.57,0,0,0,0,0
156,27142.79371,-93323868.09,0,0,0,0,0
157,7811.400835,-34176176.77,0,0,0,0,0
158,7011.270515,-7123510.53,0,0,0,0,0
159,29400.84578,-1096287.965,0,0,0,0,0
160,22840.22519,-30215598.64,0,0,0,0,0
161,12489.63333,-48503745.85,0,0,0,0,0
162,28743.41186,-14664041.34,0,0,0,0,0
163,11595.49135,-57697909.37,0,0,0,0,0
164,10752.67124,-22825297,0,0,0,0,0
165,4278.423096,-96882357.59,0,0,0,0,0
166,8408.629815,-105927655.2,0,0,0,0,0
167,23357.98551,-94304507.12,0,0,0,0,0
168,12435.99688,-63857847.95,0,0,0,0,0
169,13396.45571,-22093813.21,0,0,0,0,0
170,4341.687341,-21377955.69,0,0,0,0,0
171,17254.89232,-11410251.72,0,0,0,0,0
172,21383.88444,-2563565.92,0,0,0,0,0
173,27153.07882,-52435585.73,0,0,0,0,0
174,17512.33539,-17137512.28,0,0,0,0,0
175,12275.30127,-101532909.6,0,0,0,0,0
176,29293.55639,-36508922.16,0,0,0,0,0
177,3929.456262,-42633128.48,0,0,0,0,0
178,29863.94608,-70878414.57,0,0,0,0,0
179,16581.12233,-54965511.42,0,0,0,0,0
180,1474.542707,-29391188.99,0,0,0,0,0
181,26442.00527,-75628627.51,0,0,0,0,0
182,6219.568543,-40631509.33,0,0,0,0,0
183,22666.81401,-84792444.25,0,0,0,0,0
184,5655.8706,-52832290.86,0,0,0,0,0
185,11017.92698,-68230196.4,0,0,0,0,0
186,25695.10911,-37768869.43,0,0,0,0,0
187,24821.52813,-3536394.756,0,0,0,0,0
188,11011.60013,-19928922.51,0,0,0,0,0
189,10729.149,-3694548.244,0,0,0,0,0
190,23889.93058,-54395156.7,0,0,0,0,0
191,16491.17263,-35648496.12,0,0,0,0,0
192,24643.39677,-23520347.13,0,0,0,0,0
193,14548.33234,-51855055.72,0,0,0,0,0
194,12974.84068,-95662845.39,0,0,0,0,0
195,2055.647516,-115284005.3,0,0,0,0,0
196,8860.672378,-86027501.35,0,0,0,0,0
197,22456.17969,-32329241.79,0,0,0,0,0
198,25588.88126,-117066976.8,0,0,0,0,0
199,25269.0192,-5660672.095,0,0,0,0,0
200,1572.830296,-104643015.4,0,0,0,0,0
201,18820.50391,-14556604.49,0,0,0,0,0
202,26212.20039,-111488567.6,0,0,0,0,0
203,21243.37879,-108506983.8,0,0,0,0,0
204,23922.626,-11650353.59,0,0,0,0,0
205,9010.412321,-54345930.06,0,0,0,0,0
206,2734.172635,-115826863.7,0,0,0,0,0
207,3330.725381,-110555488,0,0,0,0,0
208,8907.610813,-27204715.24,0,0,0,0,0
209,17488.89678,-27340913.21,0,0,0,0,0
210,29062.09445,-101633740.3,0,0,0,0,0
211,5683.152562,-11840845.25,0,0,0,0,0
212,19089.78195,-35318880.31,0,0,0,0,0
213,3010.615192,-111875358.9,0,0,0,0,0
214,27172.22034,-98986528.63,0,0,0,0,0
215,9284.447066,-58046428.02,0,0,0,0,0
216,31304.2461,-84160645.45,0,0,0,0,0
217,292.7950737,-55298274.48,0,0,0,0,0
218,5588.630987,-113977328.5,0,0,0,0,0
219,14675.42551,-111664782.5,0,0,0,0,0
220,27763.59607,-84666822.85,0,0,0,0,0
221,26392.23995,-8301279.397,0,0,0,0,0
222,28228.93631,-79223925.63,0,0,0,0,0
223,28343.23021,-20313420.51,0,0,0,0,0
224,2297.139802,-114951704.2,0,0,0,0,0
225,14100.28404,-6365970.469,0,0,0,0,0
226,13611.29985,-20289118.41,0,0,0,0,0
227,26936.88937,-2188459.337,0,0,0,0,0
228,3289.995054,-8791788.674,0,0,0,0,0
229,16960.3057,-67453072.89,0,0,0,0,0
230,22989.91433,-109133198.1,0,0,0,0,0
231,2460.946741,-52092422.08,0,0,0,0,0
232,20477.02714,-94385642.92,0,0,0,0,0
233,12343.06984,-31983655.43,0,0,0,0,0
234,11679.7773,-5964014.765,0,0,0,0,0
235,15351.78185,-99902646.76,0,0,0,0,0
236,8833.900526,-54110505.74,0,0,0,0,0
237,27618.93712,-37697645.81,0,0,0,0,0
238,17716.06723,-75622538.29,0,0,0,0,0
239,21389.74194,-116164921.3,0,0,0,0,0
240,20855.34437,-77968452.42,0,0,0,0,0
241,22109.30721,-65737379.9,0,0,0,0,0
242,29364.79104,-32757062.99,0,0,0,0,0
243,18062.84866,-108822865.6,0,0,0,0,0
244,24750.41434,-33577235.18,0,0,0,0,0
245,1176.738658,-64203963.14,0,0,0,0,0
246,4810.532932,-1606316.771,0,0,0,0,0
247,26528.70452,-45904303.75,0,0,0,0,0
248,18166.1638,-44296895.95,0,0,0,0,0
249,2749.324456,-104322156.1,0,0,0,0,0
250,26227.45058,-62204377.12,0,0,0,0,0
251,9680.41142,-29702890.59,0,0,0,0,0
252,25930.22993,-58708042.22,0,0,0,0,0
253,1434.59353,-76727786.34,0,0,0,0,0
254,520.6557425,-83774989.11,0,0,0,0,0
255,1299.074301,-61533144.63,0,0,0,0,0
256,17362.29369,-57380677.71,0,0,0,0,0
257,11534.30065,-109779146,0,0,0,0,0
258,1730.225214,-62396577.26,0,0,0,0,0
259,4212.953993,-99475589.54,0,0,0,0,0
260,13441.58591,-103180612.4,0,0,0,0,0
261,5740.954275,-32943831.42,0,0,0,0,0
262,29318.68866,-103867448.1,0,0,0,0,0
263,28487.44609,-93337290.89,0,0,0,0,0
264,7730.690869,-57737621.84,0,0,0,0,0
265,1935.005299,-13192744.81,0,0,0,0,0
266,6661.413828,-15477106.99,0,0,0,0,0
267,29002.02558,-91088993.63,0,0,0,0,0
268,18983.44138,-119382619.5,0,0,0,0,0
269,5442.586082,-40515503.45,0,0,0,0,0
270,21932.63596,-25738576.13,0,0,0,0,0
271,31219.29207,-26425766.76,0,0,0,0,0
272,10047.30496,-21402426.76,0,0,0,0,0
273,2397.227493,-9200546.889,0,0,0,0,0
274,15577.06856,-9862065.527,0,0,0,0,0
275,28124.04618,-58627103.36,0,0,0,0,0
276,3888.200354,-90335931.46,0,0,0,0,0
277,12735.05082,-75084634.39,0,0,0,0,0
278,7241.407672,-53467086.9,0,0,0,0,0
279,27995.15816,-27383474.41,0,0,0,0,0
280,27500.11174,-64126233.94,0,0,0,0,0
281,19135.18281,-43557660.65,0,0,0,0,0
282,28241.1091,-57898082.62,0,0,0,0,0
283,15213.52325,-75297134.28,0,0,0,0,0
284,30984.27656,-40432865.44,0,0,0,0,0
285,21458.91092,-19664213.73,0,0,0,0,0
286,23532.93177,-19189752.94,0,0,0,0,0
287,29113.37033,-96025148.02,0,0,0,0,0
288,30075.28326,-44997217.4,0,0,0,0,0
289,12694.6876,-65364692.03,0,0,0,0,0
290,20109.91513,-9363363.779,0,0,0,0,0
291,11577.47672,-41496774.16,0,0,0,0,0
292,15622.4253,-106185148.6,0,0,0,0,0
293,24174.05603,-5810888.208,0,0,0,0,0
294,8088.913143,-91646903.47,0,0,0,0,0
295,1211.496373,-107095872,0,0,0,0,0
296,25994.58232,-93943701.58,0,0,0,0,0
297,4406.087823,-63958080.12,0,0,0,0,0
298,25073.00439,-112120127.6,0,0,0,0,0
299,28212.58645,-82643272.27,0,0,0,0,0
300,29793.00202,-46817187.51,0,0,0,0,0
301,2185.205192,-72319058.94,0,0,0,0,0
302,15380.86528,-36049344.81,0,0,0,0,0
303,5448.938526,-685423.2326,0,0,0,0,0
304,22779.80284,-71939338.87,0,0,0,0,0
305,22994.82724,-106551084.6,0,0,0,0,0
306,10854.15042,-2297375.224,0,0,0,0,0
307,9661.1903,-70825449.6,0,0,0,0,0
308,7837.159534,-18283682.62,0,0,0,0,0
309,10549.88798,-53541334.36,0,0,0,0,0
310,13837.90973,-103071497.7,0,0,0,0,0
311,4300.851574,-71383924.66,0,0,0,0,0
312,3481.651699,-28751555,0,0,0,0,0
313,2975.201789,-82100007.91,0,0,0,0,0
314,12684.46003,-35097610.74,0,0,0,0,0
315,11080.60754,-116987701.4,0,0,0,0,0
316,2756.606473,-9945718.053,0,0,0,0,0
317,15048.24405,-79750561.53,0,0,0,0,0
318,6409.812907,-5123976.23,0,0,0,0,0
319,15064.72594,-348196.9886,0,0,0,0,0
320,17792.46009,-21940559.03,0,0,0,0,0
321,26846.25277,-100191942.3,0,0,0,0,0
322,6367.685112,-1396401.161,0,0,0,0,0
323,14939.67281,-14310493.26,0,0,0,0,0
324,19582.59369,-83524009.19,0,0,0,0,0
325,21860.02593,-55554227.05,0,0,0,0,0
326,24248.29576,-47514454.72,0,0,0,0,0
327,19815.56287,-93382651.92,0,0,0,0,0
328,28695.5278,-1349858.658,0,0,0,0,0
329,21974.17932,-72682359.04,0,0,0,0,0
330,31118.85976,-63290557.2,0,0,0,0,0
331,20179.37855,-105408659,0,0,0,0,0
332,11402.17087,-21099728.1,0,0,0,0,0
333,10667.34477,-33848669.13,0,0,0,0,0
334,14726.72026,-99426680.42,0,0,0,0,0
335,3652.401266,-118432907.9,0,0,0,0,0
336,16543.3863,-60992661.21,0,0,0,0,0
337,7361.127919,-103045869.3,0,0,0,0,0
338,19607.39018,-80869165.93,0,0,0,0,0
339,1677.298132,-89469216.87,0,0,0,0,0
340,24075.76723,-2392992.547,0,0,0,0,0
341,12408.28613,-34110978.01,0,0,0,0,0
342,15268.43501,-81360132.24,0,0,0,0,0
343,19183.23443,-50787924,0,0,0,0,0
344,14094.90673,-91335269.87,0,0,0,0,0
345,3872.029993,-21753393.16,0,0,0,0,0
346,5929.518336,-39281923.42,0,0,0,0,0
347,15821.15445,-80912618.99,0,0,0,0,0
348,20652.35448,-60042350.48,0,0,0,0,0
349,8232.466369,-45430575.7,0,0,0,0,0
350,11131.29851,-63100155.41,0,0,0,0,0
351,30723.48768,-41300792.79,0,0,0,0,0
