,h,T,M,lambda,s,,,,,,,,,
0,0,0,0.459696,-2.10E-05,0,,,,,,,,,
1,319.08,0,0.849154968,3.20E-05,5.30E-05,,,,,,,,,
2,638.16,0,1.256730936,8.87E-05,0.0001097,,,,,,,,,
3,957.24,0,1.549016903,0.0001295,0.0001505,,,,,,,,,
4,1276.3,0,1.706980871,0.0001519,0.0001729,,,,,,,,,
5,1595.4,0,1.778934839,0.0001624,0.0001834,,,,,,,,,
6,1914.5,0,1.810262807,0.0001668,0.0001878,,,,,,,,,
7,2233.6,0,1.823290774,0.0001687,0.0001897,,,,,,,,,
8,2552.6,0,1.828632742,0.0001692,0.0001902,,,,,,,,,
9,2871.7,0,1.83159571,0.0001697,0.0001907,,,,,,,,h,s
10,3190.8,0,1.832728678,0.0001698,0.0001908,,,,,,,,0,0.000238629
11,3509.9,0,1.833495645,0.0001699,0.0001909,,,,,,,,319.08,0.000238629
12,3829,0,1.834262613,0.0001698,0.0001908,,,,,,,,638.16,0.000238629
13,4148,0,1.834663581,0.0001698,0.0001908,,,,,,,,957.24,0.000238629
14,4467.1,0,1.835064549,0.0001698,0.0001908,,,,,,,,1276.3,0.000238629
15,4786.2,0,1.835648516,0.0001699,0.0001909,,,,,,,,1595.4,0.000238629
16,5105.3,0,1.835866484,0.0001699,0.0001909,,,,,,,,1914.5,0.000238629
17,5424.4,0,1.836450452,0.0001699,0.0001909,,,,,,,,2233.6,0.000238629
18,5743.4,0,1.83685142,0.0001699,0.0001909,,,,,,,,2552.6,0.000238629
19,6062.5,0,1.837252387,0.0001699,0.0001909,,,,,,,,2871.7,0.000238629
20,6381.6,0,1.837653355,0.0001699,0.0001909,,,,,,,,3190.8,0.000238629
21,6700.7,0,1.838054323,0.0001699,0.0001909,,,,,,,,3509.9,0.000238629
22,7019.8,0,1.838455291,0.0001699,0.0001909,,,,,,,,3829,0.000238629
23,7338.8,0,1.838856258,0.0001699,0.0001909,,,,,,,,4148,0.000238629
24,7657.9,0,1.839074226,0.0001699,0.0001909,,,,,,,,4467.1,0.000238629
25,7977,0,1.839658194,0.0001698,0.0001908,,,,,,,,4786.2,0.000238629
26,8296.1,0,1.840059162,0.0001699,0.0001909,,,,,,,,5105.3,0.000238629
27,8615.2,0,1.840460129,0.0001699,0.0001909,,,,,,,,5424.4,0.000238629
28,8934.2,0,1.840861097,0.0001699,0.0001909,,,,,,,,5743.4,0.000238629
29,9253.3,0,1.841262065,0.0001699,0.0001909,,,,,,,,6062.5,0.000238629
30,9572.4,0,1.841663033,0.0001699,0.0001909,,,,,,,,6381.6,0.000238629
31,9891.5,0,1.842064,0.0001699,0.0001909,,,,,,,,6700.7,0.000238629
32,10211,0,1.842464968,0.0001699,0.0001909,,,,,,,,7019.8,0.000238629
33,10530,0,1.842865936,0.0001699,0.0001909,,,,,,,,7338.8,0.000238629
34,10849,0,1.843266904,0.0001699,0.0001909,,,,,,,,7657.9,0.000238629
35,11168,0,1.843667871,0.0001699,0.0001909,,,,,,,,7977,0.000238629
36,11487,0,1.844068839,0.0001699,0.0001909,,,,,,,,8296.1,0.000238629
37,11806,0,1.844469807,0.0001699,0.0001909,,,,,,,,8615.2,0.000238629
38,12125,0,1.845053775,0.0001699,0.0001909,,,,,,,,8934.2,0.000238629
39,12444,0,1.845454742,0.0001699,0.0001909,,,,,,,,9253.3,0.000238629
40,12763,0,1.84567271,0.0001699,0.0001909,,,,,,,,9572.4,0.000238629
41,13082,0,1.846073678,0.0001699,0.0001909,,,,,,,,9891.5,0.000238629
42,13401,0,1.846474646,0.0001699,0.0001909,,,,,,,,10211,0.000238629
43,13720,0,1.846875613,0.0001699,0.0001909,,,,,,,,10530,0.000238629
44,14040,0,1.847276581,0.0001699,0.0001909,,,,,,,,10849,0.000238629
45,14359,0,1.847677549,0.0001699,0.0001909,,,,,,,,11168,0.000238629
46,14678,0,1.848261517,0.0001699,0.0001909,,,,,,,,11487,0.000238629
47,14997,0,1.848662484,0.0001699,0.0001909,,,,,,,,11806,0.000238629
48,15316,0,1.849063452,0.0001699,0.0001909,,,,,,,,12125,0.000238629
49,15635,0,1.84946442,0.0001699,0.0001909,,,,,,,,12444,0.000238629
50,15954,0,1.849865388,0.0001699,0.0001909,,,,,,,,12763,0.000238629
51,16273,0,1.850266355,0.0001699,0.0001909,,,,,,,,13082,0.000238629
52,16592,0,1.850667323,0.0001699,0.0001909,,,,,,,,13401,0.000238629
53,16911,0,1.851068291,0.0001699,0.0001909,,,,,,,,13720,0.000238629
54,17230,0,1.851469259,0.0001699,0.0001909,,,,,,,,14040,0.000238629
55,17549,0,1.851870226,0.0001699,0.0001909,,,,,,,,14359,0.000238629
56,17868,0,1.852271194,0.0001699,0.0001909,,,,,,,,14678,0.000238629
57,18188,0,1.852672162,0.0001699,0.0001909,,,,,,,,14997,0.000238629
58,18507,0,1.85307313,0.0001699,0.0001909,,,,,,,,15316,0.000238629
59,18826,0,1.853474097,0.0001699,0.0001909,,,,,,,,15635,0.000238629
60,19145,0,1.853875065,0.0001699,0.0001909,,,,,,,,15954,0.000238629
61,19464,0,1.854276033,0.0001699,0.0001909,,,,,,,,16273,0.000238629
62,19783,0,1.854494001,0.0001699,0.0001909,,,,,,,,16592,0.000238629
63,20102,0,1.854894968,0.0001699,0.0001909,,,,,,,,16911,0.000238629
64,20421,0,1.855295936,0.0001699,0.0001909,,,,,,,,17230,0.000238629
65,20740,0,1.855696904,0.0001699,0.0001909,,,,,,,,17549,0.000238629
66,21059,0,1.856097872,0.0001699,0.0001909,,,,,,,,17868,0.000238629
67,21378,0,1.856498839,0.0001699,0.0001909,,,,,,,,18188,0.000238629
68,21697,0,1.857082807,0.0001699,0.0001909,,,,,,,,18507,0.000238629
69,22017,0,1.857483775,0.0001699,0.0001909,,,,,,,,18826,0.000238629
70,22336,0,1.857884743,0.0001699,0.0001909,,,,,,,,19145,0.000238629
71,22655,0,1.858102711,0.0001699,0.0001909,,,,,,,,19464,0.000238629
72,22974,0,1.858503678,0.0001699,0.0001909,,,,,,,,19783,0.000238629
73,23293,0,1.858904646,0.0001699,0.0001909,,,,,,,,20102,0.000238629
74,23612,0,1.859488614,0.0001699,0.0001909,,,,,,,,20421,0.000238629
75,23931,0,1.859889582,0.0001699,0.0001909,,,,,,,,20740,0.000238629
76,24250,0,1.860290549,0.0001699,0.0001909,,,,,,,,21059,0.000238629
77,24569,0,1.860691517,0.0001699,0.0001909,,,,,,,,21378,0.000238629
78,24888,0,1.860909485,0.0001699,0.0001909,,,,,,,,21697,0.000238629
79,25207,0,1.861310453,0.0001699,0.0001909,,,,,,,,22017,0.000238629
80,25526,0,1.86189442,0.0001699,0.0001909,,,,,,,,22336,0.000238629
81,25845,0,1.862295388,0.0001699,0.0001909,,,,,,,,22655,0.000238629
82,26165,0,1.862696356,0.0001699,0.0001909,,,,,,,,22974,0.000238629
83,26484,0,1.862914324,0.00017,0.000191,,,,,,,,23293,0.000238629
84,26803,0,1.863315291,0.00017,0.000191,,,,,,,,23612,0.000238629
85,27122,0,1.863899259,0.00017,0.000191,,,,,,,,23931,0.000238629
86,27441,0,1.864117227,0.00017,0.000191,,,,,,,,24250,0.000238629
87,27760,0,1.864518195,0.00017,0.000191,,,,,,,,24569,0.000238629
88,28079,0,1.864919162,0.00017,0.000191,,,,,,,,24888,0.000238629
89,28398,0,1.86550313,0.0001699,0.0001909,,,,,,,,25207,0.000238629
90,28717,0,1.865904098,0.0001699,0.0001909,,,,,,,,25526,0.000238629
91,29036,0,1.866122066,0.0001699,0.0001909,,,,,,,,25845,0.000238629
92,29355,0,1.866523033,0.0001699,0.0001909,,,,,,,,26165,0.000238629
93,29674,0,1.867107001,0.0001699,0.0001909,,,,,,,,26484,0.000238629
94,29994,0,1.867324969,0.0001699,0.0001909,,,,,,,,26803,0.000238629
95,30313,0,1.867725937,0.0001699,0.0001909,,,,,,,,27122,0.000238629
96,30632,0,1.868126904,0.0001699,0.0001909,,,,,,,,27441,0.000238629
97,30951,0,1.868527872,0.0001699,0.0001909,,,,,,,,27760,0.000238629
98,31270,0,1.86892884,0.0001699,0.0001909,,,,,,,,28079,0.000238629
99,31589,0,1.869512808,0.0001699,0.0001909,,,,,,,,28398,0.000238629
100,0,-960000,0.338733,4.70E-05,3.07E-05,,,,,,,,28717,0.000238629
101,319.08,-960000,0.677683968,9.29E-05,7.66E-05,,,,,,,,29036,0.000238629
102,638.16,-960000,1.094409936,0.0001505,0.000134229,,,,,,,,29355,0.000238629
103,957.24,-960000,1.443059903,0.0001995,0.000183229,,,,,,,,29674,0.000238629
104,1276.3,-960000,1.653178871,0.0002292,0.000212929,,,,,,,,29994,0.000238629
105,1595.4,-960000,1.755327839,0.0002437,0.000227429,,,,,,,,30313,0.000238629
106,1914.5,-960000,1.800014807,0.0002502,0.000233929,,,,,,,,30632,0.000238629
107,2233.6,-960000,1.818898774,0.0002529,0.000236629,,,,,,,,30951,0.000238629
108,2552.6,-960000,1.827351742,0.000254,0.000237729,,,,,,,,31270,0.000238629
109,2871.7,-960000,1.83049771,0.0002545,0.000238229,,,,,,,,31589,0.000238629
110,3190.8,-960000,1.832545678,0.0002547,0.000238429,,,,,,,,0,0.000238629
111,3509.9,-960000,1.833495645,0.0002548,0.000238529,,,,,,,,0,0.000222358
112,3829,-960000,1.834079613,0.0002548,0.000238529,,,,,,,,319.08,0.000222358
113,4148,-960000,1.834663581,0.0002548,0.000238529,,,,,,,,638.16,0.000222358
114,4467.1,-960000,1.835064549,0.0002549,0.000238629,,,,,,,,957.24,0.000222358
115,4786.2,-960000,1.835465516,0.0002549,0.000238629,,,,,,,,1276.3,0.000222358
116,5105.3,-960000,1.836049484,0.0002549,0.000238629,,,,,,,,1595.4,0.000222358
117,5424.4,-960000,1.836450452,0.0002549,0.000238629,,,,,,,,1914.5,0.000222358
118,5743.4,-960000,1.83666842,0.0002549,0.000238629,,,,,,,,2233.6,0.000222358
119,6062.5,-960000,1.837252387,0.0002548,0.000238529,,,,,,,,2552.6,0.000222358
120,6381.6,-960000,1.837470355,0.0002549,0.000238629,,,,,,,,2871.7,0.000222358
121,6700.7,-960000,1.838054323,0.0002549,0.000238629,,,,,,,,3190.8,0.000222358
122,7019.8,-960000,1.838455291,0.0002549,0.000238629,,,,,,,,3509.9,0.000222358
123,7338.8,-960000,1.838856258,0.0002549,0.000238629,,,,,,,,3829,0.000222358
124,7657.9,-960000,1.839257226,0.0002549,0.000238629,,,,,,,,4148,0.000222358
125,7977,-960000,1.839658194,0.0002549,0.000238629,,,,,,,,4467.1,0.000222358
126,8296.1,-960000,1.840059162,0.0002549,0.000238629,,,,,,,,4786.2,0.000222358
127,8615.2,-960000,1.840460129,0.0002549,0.000238629,,,,,,,,5105.3,0.000222358
