h,T
-1823.264575,1073649.46
-16179.53308,14276691.16
-25519.96809,36883923.18
-16290.40189,8145517.194
-7512.268957,29461056.09
-21618.72343,26502515.16
-7388.867295,5019524.34
-4973.732706,6995088.114
-16558.89,43035817.63
-14762.9818,16393689.47
-2118.182449,239465.3217
-19084.81607,8884747.515
-2354.583842,44515989.52
-378.0439506,6046369.083
-24113.54942,27172606.63
-5277.880299,42353480.68
-10502.92024,20063540.61
-5896.751619,38654894.23
-27151.28885,9295524.097
-27016.33927,25664700.48
-3442.410223,27488796.94
-3708.465278,26676057.55
-16682.1365,28312029.42
-1441.305768,15800390.49
-20536.64888,27326596.53
-20955.57177,38802900.92
-5127.088424,42356459.85
-24186.04347,28873462.96
-21087.70857,45389484.59
-2555.67048,7763830.351
-21041.83278,161836.4843
-26025.16788,11456245.96
-31701.26707,13020100.53
-4320.075459,35186723.86
-12123.01198,37486391.94
-16333.61761,24765912.88
-24534.47183,46679150.69
-9351.652622,12339506.72
-3343.153006,18812813.44
-5987.524357,13823130.99
-887.3425212,1025523.703
-26722.31151,35845629.69
-12594.56957,24938506.07
-26910.23056,39303155.42
-25706.52395,27032088.04
-4181.533776,16418375.38
-7853.517626,38124647.64
-30681.19934,8839842.785
-29604.77477,7468635.187
-10698.21319,811764.4039
-13100.8548,25338434.92
-26080.70864,29493384.65
-1977.923026,36609745.47
-13670.23154,35672259.54
-10693.80966,33855093.14
-31091.51543,26310485.31
-22897.40186,17453460.36
-2703.175464,41967353.2
-19212.91432,7711099.23
-31301.40489,2921184.551
-27508.56674,9793892.803
-27273.92347,21751065.26
-14802.12247,15122529.57
-19037.45133,5198184.578
-10397.93198,42965739.9
-3303.101239,31715246.42
-19228.03738,41793835.51
-22321.57538,4322038.135
-24038.20542,30850823.25
-15633.35786,3640046.592
-3949.957808,28473192.66
-18283.7126,1583232.768
-28118.68984,29794460.91
-3583.669718,5424604.897
-22353.68925,5174648.131
-8730.444511,17097499.83
-29713.46397,9764162.047
-29334.34346,28732935.1
-2069.436112,11676405.8
-20656.06018,11028329.92
-14603.32464,10950434.27
-11038.47019,36085820.61
-5717.383151,26555778.06
-7792.688796,3057565.114
-13704.43194,34660613.7
-24179.55817,14316618.24
-30938.20817,26180849.79
-4027.836173,6374134.303
-20925.86217,27594966.05
-724.0389984,33550212.53
-27821.16514,9392925.315
-14063.33853,30501928.38
-31552.06965,46046743.22
-5299.200721,4473372.256
-4914.776439,40976562.37
-13850.18542,45929402.82
-6274.342518,521795.1619
-12636.31264,30176948.99
-2681.133188,14450688.55
-8605.402419,836689.3263
-26552.96434,44143045.57
-19448.0519,21490685.57
-8283.956961,19858067.68
-29769.42986,26084306.47
-8808.277669,13425505.6
-14578.55767,11441149.64
-11085.01572,37841747.53
-12826.14065,20188337.86
-6698.896099,17035012.5
-7645.787263,40797771.91
-26071.35571,37910614.61
-11559.70416,28941292.19
-2338.622743,10062507.97
-25148.10321,4391556.372
-16611.86241,8498368.206
-24726.95889,14927258.44
-5448.556408,33996457.99
-1956.708804,18659259.15
-26649.04673,44767878.38
-14195.28093,7290238.903
-26129.58949,46455709.77
-12152.51117,36433022.07
-3927.458342,1787606.527
-19642.20335,934528.9222
-21801.98588,21429660.98
-25948.45935,32212097.77
-30551.07556,4578723.092
-137.8131649,9608242.212
-5904.808911,36117936.28
-6046.134168,32424857.97
-3566.29634,22162107.36
-2676.56819,25932249.33
-4056.336395,6898547.092
-3682.598276,25612834.09
-31457.80057,7825051.788
-21578.75239,16212836.4
-7997.40669,27150617.96
-4531.064409,35599596.89
-19322.9712,1287713.097
-25554.9327,12695241.68
-22399.16839,22360945.7
-27055.16829,44631040.38
-26650.64163,33721114.43
-12219.1666,19906897.39
-460.332073,6453252.091
-23738.66444,5634259.436
-8777.346357,833897.2421
-20143.04654,28864181.67
-5092.655447,1446506.406
-29863.14686,24588992.6
-19720.45755,16372185.72
-5795.917745,10611101.85
-23367.55589,25315922.45
-13054.34108,24145899.61
-10480.48072,2114488.875
-3794.650892,45826041.79
-21866.6686,16808810.78
-14034.55471,15308326.94
-12127.88198,13708422.64
-23336.11141,7806296.433
-24513.31175,37047114.21
-30200.38675,11922357.4
-17627.25614,23875317.58
-20114.93969,27786742.78
-31601.1774,8984957.44
-25189.11439,25513930.18
-26861.45757,14473234.79
-6270.497711,411889.6506
-19904.28848,28151803.22
-23464.18999,14506877.87
-23197.96175,39763697.85
-21061.40267,33144562.45
-7285.271561,16620496.68
-14934.22221,20525262.94
-10367.51778,15742425.22
-12779.87349,41466139.8
-20635.37058,30771334.97
-23564.4283,1219805.225
-28731.49601,7530666.943
-21819.70007,14520647.61
-3999.99312,35286708.83
-19051.3875,38991763.3
-2165.944264,6141454.449
-2471.588813,24886134.51
-20227.63755,22772711.23
-31303.3326,43614868.53
-10518.73601,9540876.713
-27318.43608,3138219.287
-26010.58255,42658519.2
-17862.85876,46187200.16
-5939.022474,15356538.8
-2718.280963,27061953.84
-25138.39174,24686611.94
-18608.21003,10074830.49
-6971.398395,15954254.13
-12908.78404,32460821.57
-19846.20304,23176271.47
-27001.47137,22598877.67
-12328.26162,7025328.339
-17064.88815,26737268.28
-1503.386843,27737312.15
-8013.703386,36360234.77
-12048.59334,19038239.95
-16492.50103,36841897.23
-1174.814489,16001568.12
-31718.93837,16956878.89
-11768.81201,2146514.639
-5496.46029,12346123.96
-21123.88606,43825987.08
-8080.690512,46359239.81
-5942.208657,36489523.64
-26956.84933,30076178.11
-19590.52456,13365725.42
-19831.5112,27963140.66
-25388.0914,13623410.7
-19100.86849,1185954.032
-5896.287498,36722521.38
-10827.21153,26142371.58
-10810.32951,32379737.34
-25418.60418,575629.5355
-5378.639376,45460325.74
-18620.67986,28166180.83
-12107.84801,44445848.8
-16777.50843,22349038.93
-22684.92635,9247752.095
-10381.27873,25911519.55
-30065.84127,20951011.77
-10599.46785,15556698.52
-22044.89113,9572901.871
-19406.68574,36811274.91
-23657.83406,36326822.58
-12684.87931,12653721.2
-12835.4952,14146062.71
-19558.77333,46780769.52
-20168.40864,32225487.44
-30329.4919,19949360.07
-16160.43277,5972367.999
-29619.01987,38186088.97
-1113.783875,4624559.23
-21322.07694,26023774.77
-21314.91062,13521086.75
-14758.38309,19203250.9
-9076.704516,46081287.96
-25809.0992,9279487.656
-6897.766698,10290975.22
-9127.013415,9490128.288
-19491.30712,27923598.92
-23395.69669,26949788.16
-24226.222,18002455.15
-29030.13417,3744118.008
-11243.58314,3931169.227
-13593.4851,3916041.931
-23625.14082,26047766.64
-28743.27381,22756218.09
-4777.573661,10864396.64
-7357.203381,44041377.05
-21036.20379,46332043.52
-14437.32466,26209493.88
-5225.339934,2262616.542
-25797.72675,45353428.41
-10280.09159,29606276.04
-30835.91377,41657198.63
-31823.41227,25264007.6
-18372.67788,11449561.2
-31174.5329,43878595.42
-27731.79062,36074879.61
-7509.601292,25480489.47
-16429.34809,39575938.06
-10156.99428,8057481.637
-28776.89215,34107174.99
-23072.98749,13969044.33
-12880.04161,43076122.58
-7031.525625,2498035.846
-8568.69262,14363632.36
-6518.741742,45651053.87
-28440.73693,14422192.72
-9699.421625,12742854.69
-12710.76203,41536961.33
-30957.37182,30446334.29
-26084.26167,43273036.87
-11899.5731,5991378.08
-22778.92624,22783460.61
-15145.38766,13123589.05
-25656.41623,7968128.777
-5565.411183,4503052.931
-3558.471314,35310979.42
-20440.55565,97738.67585
-16632.84565,35673663.75
-29210.53657,42614942.41
-4387.21964,4052765.735
-6406.265192,45682981.6
-14104.44669,41590873.71
-30688.43861,35694427.78
-1552.170224,26592154
-21663.59013,25433984.27
-22997.22288,34580843.78
-19902.96784,22920715.38
-4537.814692,16867805.54
-1185.38705,9938439.973
-9870.879014,30930850.81
-27569.97793,34124627.95
-14102.00983,3004649.218
-28208.64801,25895480.66
-18641.24639,20192613.39
-1106.03929,11862817.83
-6151.875713,25712389.76
-9896.907978,12083375.42
-14205.55259,42906067.57
-18652.68011,40914340.59
-20273.19757,3881507.01
-10456.57043,44385267.74
-30885.33666,19258810.29
-31672.3185,38146036.03
-15314.85149,21098476.63
-25179.37751,25019100.66
-23011.01299,21420958.69
-24411.73726,20390290.94
-16471.19193,10750005.17
-6446.482481,41135648.5
-16699.12598,12528236.7
-28289.0015,46076051.57
-31585.99185,20450697.21
-31688.55523,47260333.62
-17691.54648,34035963.01
-30980.0642,3668251.864
-16231.55468,16730726.04
-24.5471949,10786422.42
-2019.320123,7785235.561
-22724.35146,30680239.91
-4517.365995,43394992.18
-17895.92818,18022740.9
-19894.99657,12161004.16
-3137.635366,24385106.15
-27960.07254,33924547.14
-23891.33572,10341064.67
-20921.88493,29452486.42
-13799.99142,28796185.1
-16505.8283,10098102.93
-23942.03605,23127975.85
-17438.57055,6396125.934
-1728.558001,26875232.4
-22570.00272,4741634.568
-2765.863281,26862520.51
-31651.10807,2069719.564
-6882.347996,12890787.43
-8345.521068,6750295.907
