,magnetic field,Stress_100,stress_2,stress_3,stress_4,stress_5,stress_6
0,-1823.264574705898,1073649.459777211,0,0,0,0,0
1,-16179.533076418444,14276691.15534195,0,0,0,0,0
2,-25519.968088169706,36883923.18187162,0,0,0,0,0
3,-16290.401886738686,8145517.193557139,0,0,0,0,0
4,-7512.268957176244,29461056.0860558,0,0,0,0,0
5,-21618.723428592253,26502515.163763434,0,0,0,0,0
6,-7388.867295211628,5019524.33954819,0,0,0,0,0
7,-4973.732706451569,6995088.113686527,0,0,0,0,0
8,-16558.890002461892,43035817.62699664,0,0,0,0,0
9,-14762.98179783492,16393689.470322972,0,0,0,0,0
10,-2118.1824493717263,239465.321707152,0,0,0,0,0
11,-19084.8160697011,8884747.514566505,0,0,0,0,0
12,-2354.583842334656,44515989.517708875,0,0,0,0,0
13,-378.04395057386813,6046369.0832917355,0,0,0,0,0
14,-24113.549420964206,27172606.633371525,0,0,0,0,0
15,-5277.880298634798,42353480.680171385,0,0,0,0,0
16,-10502.920240829819,20063540.613979816,0,0,0,0,0
17,-5896.751619225713,38654894.228451684,0,0,0,0,0
18,-27151.288848565186,9295524.0966724,0,0,0,0,0
19,-27016.33926852529,25664700.480008446,0,0,0,0,0
20,-3442.410223458134,27488796.940613296,0,0,0,0,0
21,-3708.4652783597653,26676057.54896446,0,0,0,0,0
22,-16682.136502931164,28312029.421857625,0,0,0,0,0
23,-1441.3057680048262,15800390.489538787,0,0,0,0,0
24,-20536.648881270732,27326596.532947123,0,0,0,0,0
25,-20955.571774065935,38802900.91694298,0,0,0,0,0
26,-5127.088424004564,42356459.85413362,0,0,0,0,0
27,-24186.043469258915,28873462.96289676,0,0,0,0,0
28,-21087.70857035973,45389484.59056186,0,0,0,0,0
29,-2555.670480353725,7763830.350787753,0,0,0,0,0
30,-21041.83277811252,161836.48425486722,0,0,0,0,0
31,-26025.167879318775,11456245.957273826,0,0,0,0,0
32,-31701.267065128548,13020100.532767897,0,0,0,0,0
33,-4320.0754586961775,35186723.86145553,0,0,0,0,0
34,-12123.011984628358,37486391.93576658,0,0,0,0,0
35,-16333.617610210451,24765912.884787552,0,0,0,0,0
36,-24534.47182773907,46679150.690878466,0,0,0,0,0
37,-9351.652622312555,12339506.720325856,0,0,0,0,0
38,-3343.1530060264395,18812813.43890414,0,0,0,0,0
39,-5987.5243565275705,13823130.99366779,0,0,0,0,0
40,-887.3425211605962,1025523.7027423392,0,0,0,0,0
41,-26722.31150697684,35845629.68940935,0,0,0,0,0
42,-12594.569565217265,24938506.065054387,0,0,0,0,0
43,-26910.23055719331,39303155.42185149,0,0,0,0,0
44,-25706.523951499497,27032088.03912476,0,0,0,0,0
45,-4181.53377623499,16418375.375470983,0,0,0,0,0
46,-7853.517626267828,38124647.64087108,0,0,0,0,0
47,-30681.1993353381,8839842.78519124,0,0,0,0,0
48,-29604.774766826657,7468635.186566347,0,0,0,0,0
49,-10698.213194166276,811764.4038635329,0,0,0,0,0
50,-13100.85479971704,25338434.917365953,0,0,0,0,0
51,-26080.708637772383,29493384.64937102,0,0,0,0,0
52,-1977.923025639531,36609745.47335251,0,0,0,0,0
53,-13670.231544410426,35672259.537161164,0,0,0,0,0
54,-10693.80965684709,33855093.1444053,0,0,0,0,0
55,-31091.51542862427,26310485.311554924,0,0,0,0,0
56,-22897.401855361284,17453460.360868707,0,0,0,0,0
57,-2703.175464202712,41967353.19613366,0,0,0,0,0
58,-19212.914318889314,7711099.230178733,0,0,0,0,0
59,-31301.404892572747,2921184.5511233523,0,0,0,0,0
60,-27508.566738591584,9793892.80261149,0,0,0,0,0
61,-27273.923473016595,21751065.258780133,0,0,0,0,0
62,-14802.122467378975,15122529.571839431,0,0,0,0,0
63,-19037.451329841242,5198184.577811184,0,0,0,0,0
64,-10397.931979041916,42965739.90128639,0,0,0,0,0
65,-3303.101238670643,31715246.418988585,0,0,0,0,0
66,-19228.03737746887,41793835.511765905,0,0,0,0,0
67,-22321.575379044727,4322038.134679498,0,0,0,0,0
68,-24038.20541654256,30850823.253834084,0,0,0,0,0
69,-15633.357857537001,3640046.591865701,0,0,0,0,0
70,-3949.9578075678296,28473192.657956723,0,0,0,0,0
71,-18283.71259945106,1583232.7677445156,0,0,0,0,0
72,-28118.689839154446,29794460.907365303,0,0,0,0,0
73,-3583.6697177814367,5424604.8970368095,0,0,0,0,0
74,-22353.689247834227,5174648.130730243,0,0,0,0,0
75,-8730.444510648542,17097499.83489101,0,0,0,0,0
76,-29713.463967197702,9764162.046859426,0,0,0,0,0
77,-29334.343463683184,28732935.097032033,0,0,0,0,0
78,-2069.4361122385326,11676405.803336482,0,0,0,0,0
79,-20656.060175382776,11028329.915447665,0,0,0,0,0
80,-14603.324643434062,10950434.272699447,0,0,0,0,0
81,-11038.470193957275,36085820.60541181,0,0,0,0,0
82,-5717.3831506518445,26555778.06057999,0,0,0,0,0
83,-7792.688796451948,3057565.113866674,0,0,0,0,0
84,-13704.431937149044,34660613.70056366,0,0,0,0,0
85,-24179.558171157503,14316618.23723351,0,0,0,0,0
86,-30938.2081664331,26180849.785235062,0,0,0,0,0
87,-4027.8361730141723,6374134.302516696,0,0,0,0,0
88,-20925.862169681866,27594966.047239065,0,0,0,0,0
89,-724.0389983592544,33550212.532329056,0,0,0,0,0
90,-27821.1651443189,9392925.315296443,0,0,0,0,0
91,-14063.338532713282,30501928.38013025,0,0,0,0,0
92,-31552.06964799195,46046743.22206204,0,0,0,0,0
93,-5299.200720819364,4473372.2556452975,0,0,0,0,0
94,-4914.776439007686,40976562.37482489,0,0,0,0,0
95,-13850.185422833365,45929402.82237915,0,0,0,0,0
96,-6274.342518012976,521795.16187985276,0,0,0,0,0
97,-12636.312640132142,30176948.990535762,0,0,0,0,0
98,-2681.133188351429,14450688.554646589,0,0,0,0,0
99,-8605.40241931354,836689.3262506992,0,0,0,0,0
100,-26552.964338143684,44143045.56861344,0,0,0,0,0
101,-19448.051902441857,21490685.566556513,0,0,0,0,0
102,-8283.95696065333,19858067.680341996,0,0,0,0,0
103,-29769.429860751276,26084306.467261527,0,0,0,0,0
104,-8808.27766891272,13425505.599467942,0,0,0,0,0
105,-14578.557665170412,11441149.642725216,0,0,0,0,0
106,-11085.015720468962,37841747.52884421,0,0,0,0,0
107,-12826.140653234783,20188337.86285953,0,0,0,0,0
108,-6698.896099455167,17035012.499079693,0,0,0,0,0
109,-7645.787262926187,40797771.90753786,0,0,0,0,0
110,-26071.35570553227,37910614.61164412,0,0,0,0,0
111,-11559.70416352729,28941292.18961476,0,0,0,0,0
112,-2338.622742504312,10062507.972876491,0,0,0,0,0
113,-25148.10321482882,4391556.371714376,0,0,0,0,0
114,-16611.862406794622,8498368.205744632,0,0,0,0,0
115,-24726.958888194018,14927258.441293517,0,0,0,0,0
116,-5448.556407550436,33996457.986983575,0,0,0,0,0
117,-1956.7088039783284,18659259.14921135,0,0,0,0,0
