,T,B,M,lambda,s
0,0.0,0.0,366000.0,0.0,0.0
1,0.0,319.08,675000.0,5.3e-05,5.3e-05
2,0.0,638.16,999000.0,0.0001097,0.0001097
3,0.0,957.24,1230000.0,0.0001505,0.0001505
4,0.0,1276.3,1360000.0,0.0001729,0.0001729
5,0.0,1595.4,1410000.0,0.0001834,0.0001834
6,0.0,1914.5,1440000.0,0.0001878,0.0001878
7,0.0,2233.6,1450000.0,0.0001897,0.0001897
8,0.0,2552.6,1450000.0,0.0001902,0.0001902
9,0.0,2871.7,1450000.0,0.0001907,0.0001907
10,0.0,3190.8,1460000.0,0.0001908,0.0001908
11,0.0,3509.9,1460000.0,0.0001909,0.0001909
12,0.0,3829.0,1460000.0,0.0001908,0.0001908
13,0.0,4148.0,1460000.0,0.0001908,0.0001908
14,0.0,4467.1,1460000.0,0.0001908,0.0001908
15,0.0,4786.2,1460000.0,0.0001909,0.0001909
16,0.0,5105.3,1460000.0,0.0001909,0.0001909
17,0.0,5424.4,1460000.0,0.0001909,0.0001909
18,0.0,5743.4,1460000.0,0.0001909,0.0001909
19,0.0,6062.5,1460000.0,0.0001909,0.0001909
20,0.0,6381.6,1460000.0,0.0001909,0.0001909
21,0.0,6700.7,1460000.0,0.0001909,0.0001909
22,0.0,7019.8,1460000.0,0.0001909,0.0001909
23,0.0,7338.8,1460000.0,0.0001909,0.0001909
24,0.0,7657.9,1460000.0,0.0001909,0.0001909
25,0.0,7977.0,1460000.0,0.0001908,0.0001908
26,0.0,8296.1,1460000.0,0.0001909,0.0001909
27,0.0,8615.2,1460000.0,0.0001909,0.0001909
28,0.0,8934.2,1460000.0,0.0001909,0.0001909
29,0.0,9253.3,1460000.0,0.0001909,0.0001909
30,0.0,9572.4,1460000.0,0.0001909,0.0001909
31,0.0,9891.5,1460000.0,0.0001909,0.0001909
32,0.0,10211.0,1460000.0,0.0001909,0.0001909
33,0.0,10530.0,1460000.0,0.0001909,0.0001909
34,0.0,10849.0,1460000.0,0.0001909,0.0001909
35,0.0,11168.0,1460000.0,0.0001909,0.0001909
36,0.0,11487.0,1460000.0,0.0001909,0.0001909
37,0.0,11806.0,1460000.0,0.0001909,0.0001909
38,0.0,12125.0,1460000.0,0.0001909,0.0001909
39,0.0,12444.0,1460000.0,0.0001909,0.0001909
40,0.0,12763.0,1460000.0,0.0001909,0.0001909
41,0.0,13082.0,1460000.0,0.0001909,0.0001909
42,0.0,13401.0,1460000.0,0.0001909,0.0001909
43,0.0,13720.0,1460000.0,0.0001909,0.0001909
44,0.0,14040.0,1460000.0,0.0001909,0.0001909
